Date,Transaction Description,Category,Amount,Type,Payment Method
2020-07-22,Game and entertainment purchase - July 2020,Entertainment,576.75,Expense,E-Wallet
2020-07-22,Grocery and household staples - July 2020,Groceries,705.17,Expense,Debit Card
2020-07-22,Restaurant meal payment - July 2020,Food & Drink,577.20,Expense,Debit Card
2020-07-23,Monthly housing rent - July 2020,Rent,1345.95,Expense,Bank Transfer
2020-07-24,Salary income received - July 2020,Salary,4121.02,Income,Debit Card
2020-07-28,Apartment rent payment - July 2020,Rent,1379.28,Expense,Bank Transfer
2020-07-28,Hospital or pharmacy expense - July 2020,Healthcare,896.52,Expense,Debit Card
2020-07-29,Personal shopping expense - July 2020,Shopping,896.59,Expense,Credit Card
2020-07-30,Electricity and water bill - July 2020,Utilities,590.60,Expense,Bank Transfer
2020-07-31,Travel booking payment - July 2020,Travel,1988.79,Income,Bank Transfer
2020-08-01,Trip and accommodation expense - August 2020,Travel,1773.12,Expense,Credit Card
2020-08-01,Movie and streaming subscription - August 2020,Entertainment,928.65,Expense,E-Wallet
2020-08-01,Family allowance transfer - August 2020,Allowance,908.11,Income,Debit Card
2020-08-02,Daily transportation expense - August 2020,Transportation,109.80,Expense,Cash
2020-08-03,Investment dividend income - August 2020,Investment,1345.55,Income,Bank Transfer
2020-08-04,Internet utility payment - August 2020,Utilities,279.83,Expense,Bank Transfer
2020-08-04,Refund income received - August 2020,Other Income,1193.79,Income,Debit Card
2020-08-04,Bus and taxi fare - August 2020,Transportation,181.68,Expense,Cash
2020-08-05,Retail shopping purchase - August 2020,Shopping,457.70,Expense,Credit Card
2020-08-05,Lunch and dining expense - August 2020,Food & Drink,363.86,Expense,Debit Card
2020-08-06,Clothing and household shopping - August 2020,Shopping,516.22,Expense,Credit Card
2020-08-08,Travel booking payment - August 2020,Travel,1083.63,Expense,Credit Card
2020-08-08,Grocery and household staples - August 2020,Groceries,595.50,Expense,Debit Card
2020-08-09,Movie and streaming subscription - August 2020,Entertainment,519.02,Expense,E-Wallet
2020-08-13,Payroll wage received - August 2020,Salary,3968.62,Income,Debit Card
2020-08-14,Personal shopping expense - August 2020,Shopping,677.54,Expense,Credit Card
2020-08-16,Electricity and water bill - August 2020,Utilities,463.19,Expense,Bank Transfer
2020-08-17,Retail shopping purchase - August 2020,Shopping,736.06,Expense,Credit Card
2020-08-18,Residential rent payment - August 2020,Rent,1337.84,Expense,Bank Transfer
2020-08-19,Freelance project payment - August 2020,Freelance,2204.40,Income,Bank Transfer
2020-08-20,Family allowance transfer - August 2020,Allowance,1559.46,Income,Bank Transfer
2020-08-21,Daily transportation expense - August 2020,Transportation,421.00,Expense,Cash
2020-08-21,Hotel and flight booking - August 2020,Travel,1618.17,Expense,Credit Card
2020-08-22,Travel booking payment - August 2020,Travel,2862.61,Expense,Credit Card
2020-08-22,Lunch and dining expense - August 2020,Food & Drink,743.76,Expense,Debit Card
2020-08-26,Apartment rent payment - August 2020,Rent,1463.06,Expense,Bank Transfer
2020-08-27,Cafe and coffee purchase - August 2020,Food & Drink,803.34,Expense,Debit Card
2020-08-27,Investment return received - August 2020,Investment,1261.51,Income,Bank Transfer
2020-08-29,Monthly salary deposit - August 2020,Salary,3635.29,Income,Bank Transfer
2020-08-30,Game and entertainment purchase - August 2020,Entertainment,226.43,Expense,E-Wallet
2020-08-31,Daily transportation expense - August 2020,Transportation,142.08,Expense,Cash
2020-09-01,Apartment rent payment - September 2020,Rent,1121.17,Expense,Bank Transfer
2020-09-05,Family allowance transfer - September 2020,Allowance,1075.68,Income,Bank Transfer
2020-09-05,Trip and accommodation expense - September 2020,Travel,951.50,Expense,Credit Card
2020-09-06,Clothing and household shopping - September 2020,Shopping,487.75,Expense,Credit Card
2020-09-07,Monthly housing rent - September 2020,Rent,1196.40,Expense,Bank Transfer
2020-09-08,Netflix or Spotify payment - September 2020,Entertainment,446.27,Expense,E-Wallet
2020-09-11,Apartment rent payment - September 2020,Rent,1229.73,Expense,Bank Transfer
2020-09-11,Cafe and coffee purchase - September 2020,Food & Drink,459.32,Expense,Debit Card
2020-09-11,Daily transportation expense - September 2020,Transportation,293.59,Expense,Cash
2020-09-16,Restaurant meal payment - September 2020,Food & Drink,518.90,Expense,Debit Card
2020-09-17,Monthly housing rent - September 2020,Rent,1304.95,Expense,Bank Transfer
2020-09-17,Salary income received - September 2020,Salary,4052.70,Income,Debit Card
2020-09-18,Hotel and flight booking - September 2020,Travel,1418.77,Expense,Credit Card
2020-09-18,Payroll wage received - September 2020,Salary,4108.26,Income,Bank Transfer
2020-09-22,Trip and accommodation expense - September 2020,Travel,1507.66,Expense,Credit Card
2020-09-22,Apartment rent payment - September 2020,Rent,1388.29,Expense,Bank Transfer
2020-09-22,Payroll wage received - September 2020,Salary,4205.86,Income,Bank Transfer
2020-09-23,Daily transportation expense - September 2020,Transportation,453.28,Expense,Cash
2020-09-23,Electricity and water bill - September 2020,Utilities,599.21,Expense,Bank Transfer
2020-09-25,Travel booking payment - September 2020,Travel,1752.70,Expense,Credit Card
2020-09-27,Trip and accommodation expense - September 2020,Travel,1797.15,Expense,Credit Card
2020-09-27,Movie and streaming subscription - September 2020,Entertainment,944.46,Expense,E-Wallet
2020-09-27,Payroll wage received - September 2020,Salary,3621.77,Income,E-Wallet
2020-09-29,Salary income received - September 2020,Salary,3663.81,Income,Debit Card
2020-09-30,Restaurant meal payment - September 2020,Food & Drink,258.16,Expense,Debit Card
2020-10-01,Game and entertainment purchase - October 2020,Entertainment,285.74,Expense,E-Wallet
2020-10-03,Salary income received - October 2020,Salary,3747.15,Income,E-Wallet
2020-10-04,Supermarket grocery purchase - October 2020,Groceries,473.93,Expense,Debit Card
2020-10-07,Travel booking payment - October 2020,Travel,974.32,Expense,Credit Card
2020-10-07,Investment return received - October 2020,Investment,1603.40,Income,Bank Transfer
2020-10-07,Investment dividend income - October 2020,Investment,1667.87,Income,E-Wallet
2020-10-08,Payroll wage received - October 2020,Salary,3900.30,Income,Debit Card
2020-10-08,Trip and accommodation expense - October 2020,Travel,1174.92,Expense,Credit Card
2020-10-10,Hotel and flight booking - October 2020,Travel,1219.37,Expense,Credit Card
2020-10-10,Portfolio interest income - October 2020,Investment,1838.24,Income,E-Wallet
2020-10-10,Investment return received - October 2020,Investment,1880.83,Income,Debit Card
2020-10-12,Electricity and water bill - October 2020,Utilities,471.80,Expense,Bank Transfer
2020-10-14,Monthly housing rent - October 2020,Rent,1338.74,Expense,Bank Transfer
2020-10-15,Salary income received - October 2020,Salary,4109.01,Income,E-Wallet
2020-10-16,Restaurant meal payment - October 2020,Food & Drink,638.06,Expense,Debit Card
2020-10-16,Monthly housing rent - October 2020,Rent,1388.74,Expense,Bank Transfer
2020-10-16,Residential rent payment - October 2020,Rent,1405.41,Expense,Bank Transfer
2020-10-18,Electricity and water bill - October 2020,Utilities,575.54,Expense,Bank Transfer
2020-10-19,Travel booking payment - October 2020,Travel,1686.64,Expense,Credit Card
2020-10-23,Grocery and household staples - October 2020,Groceries,927.15,Expense,Debit Card
2020-10-24,Movie and streaming subscription - October 2020,Entertainment,916.00,Expense,E-Wallet
2020-10-26,Payroll wage received - October 2020,Salary,4345.50,Income,E-Wallet
2020-10-27,Personal shopping expense - October 2020,Shopping,283.72,Expense,Credit Card
2020-10-27,Apartment rent payment - October 2020,Rent,1080.18,Expense,Bank Transfer
2020-10-27,Game and entertainment purchase - October 2020,Entertainment,242.24,Expense,E-Wallet
2020-10-28,Monthly utilities bill - October 2020,Utilities,1155.26,Income,E-Wallet
2020-10-29,Electricity and water bill - October 2020,Utilities,304.79,Expense,Bank Transfer
2020-10-30,Payroll wage received - October 2020,Salary,3775.68,Income,Bank Transfer
2020-10-31,Trip and accommodation expense - October 2020,Travel,975.53,Expense,Credit Card
2020-11-01,Movie and streaming subscription - November 2020,Entertainment,403.56,Expense,E-Wallet
2020-11-01,Game and entertainment purchase - November 2020,Entertainment,432.82,Expense,E-Wallet
2020-11-02,Monthly utilities bill - November 2020,Utilities,384.42,Expense,Bank Transfer
2020-11-04,Apartment rent payment - November 2020,Rent,1238.74,Expense,Bank Transfer
2020-11-06,Travel booking payment - November 2020,Travel,1220.57,Expense,Credit Card
2020-11-07,Trip and accommodation expense - November 2020,Travel,1265.02,Expense,Credit Card
2020-11-09,Monthly salary deposit - November 2020,Salary,4012.16,Income,Bank Transfer
2020-11-10,Retail shopping purchase - November 2020,Shopping,723.40,Expense,Credit Card
2020-11-10,Lunch and dining expense - November 2020,Food & Drink,579.12,Expense,Debit Card
2020-11-12,Restaurant meal payment - November 2020,Food & Drink,602.82,Expense,Debit Card
2020-11-12,Travel booking payment - November 2020,Travel,1487.24,Expense,Credit Card
2020-11-14,Monthly utilities bill - November 2020,Utilities,544.11,Expense,Bank Transfer
2020-11-14,Hotel and flight booking - November 2020,Travel,1598.95,Expense,Credit Card
2020-11-14,Payroll wage received - November 2020,Salary,4220.87,Income,Debit Card
2020-11-14,Personal shopping expense - November 2020,Shopping,673.28,reimbursement,Debit Card
2020-11-15,Electricity and water bill - November 2020,Utilities,607.82,Expense,Bank Transfer
2020-11-15,Travel booking payment - November 2020,Travel,1776.73,Expense,Credit Card
2020-11-16,Lunch and dining expense - November 2020,Food & Drink,804.62,Expense,Debit Card
2020-11-16,Supermarket grocery purchase - November 2020,Groceries,340.48,Expense,Debit Card
2020-11-17,Cafe and coffee purchase - November 2020,Food & Drink,223.56,Expense,Debit Card
2020-11-20,Personal shopping expense - November 2020,Shopping,343.03,Expense,Credit Card
2020-11-22,Monthly salary deposit - November 2020,Salary,3706.61,Income,Debit Card
2020-11-23,Game and entertainment purchase - November 2020,Entertainment,301.55,Expense,E-Wallet
2020-11-25,Refund income received - November 2020,Other Income,1237.84,Income,Bank Transfer
2020-11-25,Monthly salary deposit - November 2020,Salary,3789.94,Income,E-Wallet
2020-11-26,Game and entertainment purchase - November 2020,Entertainment,404.35,Expense,E-Wallet
2020-11-27,Lunch and dining expense - November 2020,Food & Drink,401.66,Expense,Debit Card
2020-11-27,Investment dividend income - November 2020,Investment,1690.89,Income,Bank Transfer
2020-11-29,Internet utility payment - November 2020,Utilities,400.78,Expense,Bank Transfer
2020-12-01,Trip and accommodation expense - December 2020,Travel,1548.95,Expense,Credit Card
2020-12-05,Monthly salary deposit - December 2020,Salary,3970.87,Income,Bank Transfer
2020-12-05,Retail shopping purchase - December 2020,Shopping,929.91,Expense,Credit Card
2020-12-06,Monthly utilities bill - December 2020,Utilities,472.66,Expense,Bank Transfer
2020-12-10,Clothing and household shopping - December 2020,Shopping,1003.45,Expense,Credit Card
2020-12-10,Travel booking payment - December 2020,Travel,1793.99,Expense,Credit Card
2020-12-11,Trip and accommodation expense - December 2020,Travel,1838.44,Expense,Credit Card
2020-12-12,Monthly salary deposit - December 2020,Salary,4151.80,Income,E-Wallet
2020-12-13,Payroll wage received - December 2020,Salary,4179.58,Income,Debit Card
2020-12-14,Personal shopping expense - December 2020,Shopping,1149.75,Expense,Credit Card
2020-12-14,Movie and streaming subscription - December 2020,Entertainment,1024.03,Expense,E-Wallet
2020-12-16,Retail shopping purchase - December 2020,Shopping,1223.29,Expense,Credit Card
2020-12-16,Lunch and dining expense - December 2020,Food & Drink,-25,Expense,Debit Card
2020-12-16,Bus and taxi fare - December 2020,Transportation,510.10,Expense,Cash
2020-12-18,Internet utility payment - December 2020,Utilities,225.60,Expense,Bank Transfer
2020-12-18,Refund income received - December 2020,Other Income,1055.06,Income,E-Wallet
2020-12-20,Monthly salary deposit - December 2020,Salary,3665.32,Income,Debit Card
2020-12-20,Cafe and coffee purchase - December 2020,Food & Drink,271.61,Expense,Debit Card
2020-12-22,Monthly utilities bill - December 2020,Utilities,297.48,Expense,Bank Transfer
2020-12-23,Hotel and flight booking - December 2020,Travel,1260.66,Expense,Credit Card
2020-12-23,Monthly housing rent - December 2020,Rent,1164.41,Expense,Bank Transfer
2020-12-24,Personal shopping expense - December 2020,Shopping,740.12,Expense,Credit Card
2020-12-25,Monthly salary deposit - December 2020,Salary,3846.25,Income,Bank Transfer
2020-12-26,Portfolio interest income - December 2020,Investment,1670.17,Income,E-Wallet
2020-12-28,Trip and accommodation expense - December 2020,Travel,1505.71,Expense,Credit Card
2020-12-30,Bus and taxi fare - December 2020,Transportation,287.14,Expense,Cash
2020-12-31,Monthly housing rent - December 2020,Rent,1272.97,Expense,Bank Transfer
2021-01-01,Lunch and dining expense - January 2021,Food & Drink,520.82,Expense,Debit Card
2021-01-06,Hotel and flight booking - January 2021,Travel,1333.48,Expense,Credit Card
2021-01-06,Game and entertainment purchase - January 2021,Entertainment,639.22,Expense,E-Wallet
2021-01-08,Monthly utilities bill - January 2021,Utilities,496.77,Expense,Bank Transfer
2021-01-10,Freelance project payment - January 2021,Freelance,2209.61,Income,E-Wallet
2021-01-10,Internet utility payment - January 2021,Utilities,536.80,Expense,Bank Transfer
2021-01-11,Salary income received - January 2021,Salary,4180.33,Income,Bank Transfer
2021-01-12,Freelance project payment - January 2021,Freelance,2354.05,Income,Bank Transfer
2021-01-13,Internet utility payment - January 2021,Utilities,584.57,Expense,Bank Transfer
2021-01-13,Trip and accommodation expense - January 2021,Travel,1711.86,Expense,Credit Card
2021-01-14,Hotel and flight booking - January 2021,Travel,1756.31,Expense,Credit Card
2021-01-14,Weekly groceries payment - January 2021,Groceries,965.47,Expense,Debit Card
2021-01-15,Refund income received - January 2021,Other Income,1015.42,Income,E-Wallet
2021-01-15,Hotel and flight booking - January 2021,Travel,711.26,Expense,Credit Card
2021-01-17,Retail shopping purchase - January 2021,Shopping,329.59,Expense,Credit Card
2021-01-17,Lunch and dining expense - January 2021,Food & Drink,260.08,Expense,Debit Card
2021-01-19,Hotel and flight booking - January 2021,Travel,844.59,Expense,Credit Card
2021-01-20,Hospital or pharmacy expense - January 2021,Healthcare,395.30,Expense,Debit Card
2021-01-24,Refund income received - January 2021,Other Income,1280.78,Income,Bank Transfer
2021-01-26,Restaurant meal payment - January 2021,Food & Drink,367.07,Expense,Debit Card
2021-01-27,Hospital or pharmacy expense - January 2021,Healthcare,509.81,Expense,Debit Card
2021-01-27,Refund income received - January 2021,Other Income,1403.00,Income,Debit Card
2021-01-27,Electricity and water bill - January 2021,Utilities,393.46,Expense,Bank Transfer
2021-01-27,Hospital or pharmacy expense - January 2021,Healthcare,607.59,Expense,Debit Card
2021-01-29,Monthly utilities bill - January 2021,Utilities,425.32,Expense,Bank Transfer
2021-02-02,Monthly salary deposit - February 2021,Salary,4000.15,Income,Debit Card
2021-02-05,Hospital or pharmacy expense - February 2021,Healthcare,722.10,Expense,Debit Card
2021-02-05,Residential rent payment - February 2021,Rent,1323.42,Expense,Bank Transfer
2021-02-08,Bus and taxi fare - February 2021,Transportation,367.20,Expense,Cash
2021-02-08,Hospital or pharmacy expense - February 2021,Healthcare,819.88,Expense,Debit Card
2021-02-09,Trip and accommodation expense - February 2021,Travel,1512.46,Expense,Credit Card
2021-02-09,Hotel and flight booking - February 2021,Travel,1556.91,Expense,Credit Card
2021-02-11,Hospital or pharmacy expense - February 2021,Healthcare,934.39,Expense,Debit Card
2021-02-11,Lunch and dining expense - February 2021,Food & Drink,723.26,Expense,Debit Card
2021-02-13,Supermarket grocery purchase - February 2021,Groceries,904.68,Expense,Debit Card
2021-02-16,Monthly housing rent - February 2021,Rent,1465.32,Expense,Bank Transfer
2021-02-18,Trip and accommodation expense - February 2021,Travel,1801.95,Expense,Credit Card
2021-02-19,Investment dividend income - February 2021,Investment,2396.55,Income,Debit Card
2021-02-20,Payroll wage received - February 2021,Salary,3624.77,Income,Bank Transfer
2021-02-21,Monthly utilities bill - February 2021,Utilities,258.31,Expense,Bank Transfer
2021-02-23,Bus and taxi fare - February 2021,Transportation,144.23,Expense,Cash
2021-02-24,Retail shopping purchase - February 2021,Shopping,388.90,Expense,Credit Card
2021-02-27,Personal shopping expense - February 2021,Shopping,418.16,Expense,Credit Card
2021-02-28,Supermarket grocery purchase - February 2021,Groceries,476.58,Expense,Debit Card
2021-03-02,Game and entertainment purchase - March 2021,Entertainment,376.68,Expense,E-Wallet
2021-03-02,Refund income received - March 2021,Other Income,1342.44,Income,Debit Card
2021-03-02,Supermarket grocery purchase - March 2021,Groceries,562.46,Expense,Debit Card
